relationshipId,startNodeId,endNodeId,type,amount,unit,stepOrder
4faf2931e10e74e0,9cfd60e27d37b519,809cd62c6159126d,REQUIRES,2,克,
d1dfc7878cd2786d,9cfd60e27d37b519,3de857b59530ec6e,REQUIRES,6-15,克,
ea54b8b43cbc4f6a,9cfd60e27d37b519,02e1eabcea426568,REQUIRES,3.5-8,克,
bc458affb05029d8,9cfd60e27d37b519,2cdc8e1f9aefc7b2,REQUIRES,10,克,
7a6d445bf2cc1459,9cfd60e27d37b519,a3dd28934f2f9a12,REQUIRES,50,克,
66dc21fa16db0e6b,9cfd60e27d37b519,8e92a1c42d49f602,REQUIRES,40,克,
0be9b94c2af22914,9cfd60e27d37b519,454f3c68a59eb078,REQUIRES,15,克,
8f6f7dd230e60173,9cfd60e27d37b519,515af458e3378ae9,REQUIRES,20,克,
7e4103be28a8a864,9cfd60e27d37b519,272b6c85e8f92fee,CONTAINS_STEP,,,1.0
24e8736128f8b56d,9cfd60e27d37b519,076d007fd5381a3e,CONTAINS_STEP,,,2.0
b1787f5bcfcfe41b,9cfd60e27d37b519,5b5ad8adbe1ad341,CONTAINS_STEP,,,3.0
e6a4b585d6baf47d,9cfd60e27d37b519,40296e4a9696ff7d,CONTAINS_STEP,,,4.0
3c5729f602fa27b6,9cfd60e27d37b519,c977d956d17b4a5c,CONTAINS_STEP,,,5.0
c701987de7566b95,9cfd60e27d37b519,6c69957bb9cf5356,CONTAINS_STEP,,,6.0
a2ccab6a18a31c80,9cfd60e27d37b519,64a7085c469a82be,CONTAINS_STEP,,,7.0
46b3bdd8bde81c6c,9cfd60e27d37b519,fbaa4e39ca8903bf,BELONGS_TO_CATEGORY,,,
704eaaa73362aa98,9cfd60e27d37b519,b47f0d2431a888a2,HAS_DIFFICULTY_LEVEL,,,
fc772e2db554b7a0,4ad03a810d7ef263,98fa598a57ea7667,REQUIRES,2,斤,
3569817540ee02ce,4ad03a810d7ef263,75789e58d099a674,REQUIRES,70,毫升,
3628c4a53cd36d53,4ad03a810d7ef263,fb3fd3b8cfac4ea2,REQUIRES,2,片,
26b8ca5f8c775c23,4ad03a810d7ef263,7bda97ac3ec3677f,REQUIRES,1,个,
42d31da6059ccacf,4ad03a810d7ef263,9d5b54483543d7e4,REQUIRES,3,克,
3e4ea83cc78ff790,4ad03a810d7ef263,7de9e044b4e73ebe,REQUIRES,10,克,
453498fc738eeee3,4ad03a810d7ef263,0e9595ab8f5e7160,REQUIRES,10,克,
d735d1260aeea94c,4ad03a810d7ef263,ac47ee0805eb68f5,REQUIRES,5,克,
5650fc8310fade29,4ad03a810d7ef263,1e2a144c462b1349,REQUIRES,1,根,
d4734393636c486e,4ad03a810d7ef263,be1a7c309fe2740b,REQUIRES,30,克,
57efcaf3f38f6524,4ad03a810d7ef263,02388f585485c7d2,REQUIRES,7,瓣,
